seed,final_recovered_fraction,final_infected_fraction
0,0.17647058823529413,0.0
1,0.5588235294117647,0.0
2,0.14705882352941177,0.0
3,0.5882352941176471,0.0
4,0.5882352941176471,0.0
5,0.08823529411764706,0.0
6,0.7352941176470589,0.0
7,0.08823529411764706,0.0
8,0.6176470588235294,0.0
9,0.9411764705882353,0.0
10,0.2647058823529412,0.0
11,0.7352941176470589,0.0
12,0.4117647058823529,0.0
13,0.6470588235294118,0.0
14,0.47058823529411764,0.0
15,0.8235294117647058,0.0
16,0.6176470588235294,0.0
17,0.08823529411764706,0.0
18,0.7058823529411765,0.0
19,0.6764705882352942,0.0
20,0.6176470588235294,0.0
21,0.5,0.0
22,0.7058823529411765,0.0
23,0.5882352941176471,0.0
24,0.7058823529411765,0.0
25,0.11764705882352941,0.0
26,0.7647058823529411,0.0
27,0.29411764705882354,0.0
28,0.7352941176470589,0.0
29,0.5294117647058824,0.0
30,0.7352941176470589,0.0
31,0.4411764705882353,0.0
32,0.6176470588235294,0.0
33,0.2647058823529412,0.0
34,0.7941176470588235,0.0
35,0.11764705882352941,0.0
36,0.5294117647058824,0.0
37,0.8529411764705882,0.0
38,0.5588235294117647,0.0
39,0.9117647058823529,0.0
40,0.7647058823529411,0.0
41,0.23529411764705882,0.0
42,0.6176470588235294,0.0
43,0.7647058823529411,0.0
44,0.08823529411764706,0.0
45,0.6764705882352942,0.0
46,0.4411764705882353,0.0
47,0.6176470588235294,0.0
48,0.20588235294117646,0.0
49,0.5882352941176471,0.0
50,0.4411764705882353,0.0
51,0.5588235294117647,0.0
52,0.5882352941176471,0.0
53,0.6176470588235294,0.0
54,0.7647058823529411,0.0
55,0.3235294117647059,0.0
56,0.7058823529411765,0.0
57,0.29411764705882354,0.0
58,0.7058823529411765,0.0
59,0.5882352941176471,0.0
60,0.6470588235294118,0.0
61,0.14705882352941177,0.0
62,0.2647058823529412,0.0
63,0.47058823529411764,0.0
64,0.5882352941176471,0.0
65,0.7647058823529411,0.0
66,0.14705882352941177,0.0
67,0.6176470588235294,0.0
68,0.5294117647058824,0.0
69,0.23529411764705882,0.0
70,0.8235294117647058,0.0
71,0.47058823529411764,0.0
72,0.14705882352941177,0.0
73,0.6764705882352942,0.0
74,0.5882352941176471,0.0
75,0.29411764705882354,0.0
76,0.7352941176470589,0.0
77,0.6470588235294118,0.0
78,0.9117647058823529,0.0
79,0.7941176470588235,0.0
80,0.5588235294117647,0.0
81,0.2647058823529412,0.0
82,0.5882352941176471,0.0
83,0.8235294117647058,0.0
84,0.08823529411764706,0.0
85,0.5,0.0
86,0.38235294117647056,0.0
87,0.47058823529411764,0.0
88,0.7647058823529411,0.0
89,0.8235294117647058,0.0
90,0.4117647058823529,0.0
91,0.20588235294117646,0.0
92,0.6176470588235294,0.0
93,0.9117647058823529,0.0
94,0.7058823529411765,0.0
95,0.35294117647058826,0.0
96,0.23529411764705882,0.0
97,0.7352941176470589,0.0
98,0.6470588235294118,0.0
99,0.5882352941176471,0.0
