policy,seed,step,value,r
motter_lai,7,0,0.3333333333333333,0.2
motter_lai,7,1,0.2222222222222222,0.2
motter_lai,7,2,0.2222222222222222,0.2
motter_lai,7,3,0.2222222222222222,0.2
motter_lai,7,4,0.2222222222222222,0.2
motter_lai,7,5,0.2222222222222222,0.2
motter_lai,7,6,0.2222222222222222,0.2
motter_lai,7,7,0.2222222222222222,0.2
motter_lai,7,8,0.2222222222222222,0.2
motter_lai,7,9,0.2222222222222222,0.2
motter_lai,7,10,0.2222222222222222,0.2
motter_lai,7,11,0.2222222222222222,0.2
motter_lai,7,12,0.2222222222222222,0.2
motter_lai,7,13,0.2222222222222222,0.2
motter_lai,7,14,0.2222222222222222,0.2
motter_lai,7,15,0.2222222222222222,0.2
motter_lai,7,16,0.2222222222222222,0.2
motter_lai,7,17,0.2222222222222222,0.2
motter_lai,7,18,0.2222222222222222,0.2
motter_lai,7,19,0.2222222222222222,0.2
motter_lai,7,20,0.2222222222222222,0.2
motter_lai,7,21,0.2222222222222222,0.2
motter_lai,7,22,0.2222222222222222,0.2
motter_lai,7,23,0.2222222222222222,0.2
motter_lai,7,24,0.2222222222222222,0.2
motter_lai,7,25,0.2222222222222222,0.2
motter_lai,7,26,0.2222222222222222,0.2
motter_lai,7,27,0.2222222222222222,0.2
motter_lai,7,28,0.2222222222222222,0.2
motter_lai,7,29,0.2222222222222222,0.2
motter_lai,7,30,0.2222222222222222,0.2
motter_lai,7,31,0.2222222222222222,0.2
motter_lai,7,32,0.2222222222222222,0.2
motter_lai,7,33,0.2222222222222222,0.2
motter_lai,7,34,0.2222222222222222,0.2
motter_lai,7,35,0.2222222222222222,0.2
motter_lai,7,36,0.2222222222222222,0.2
motter_lai,7,37,0.2222222222222222,0.2
motter_lai,7,38,0.2222222222222222,0.2
motter_lai,7,39,0.2222222222222222,0.2
motter_lai,7,40,0.2222222222222222,0.2
motter_lai,7,41,0.2222222222222222,0.2
motter_lai,7,42,0.2222222222222222,0.2
motter_lai,7,43,0.2222222222222222,0.2
motter_lai,7,44,0.2222222222222222,0.2
motter_lai,7,45,0.2222222222222222,0.2
motter_lai,7,46,0.2222222222222222,0.2
motter_lai,7,47,0.2222222222222222,0.2
motter_lai,7,48,0.2222222222222222,0.2
motter_lai,7,49,0.2222222222222222,0.2
motter_lai,7,50,0.2222222222222222,0.2
motter_lai,7,51,0.2222222222222222,0.2
